1,こん棒,2,5,0,0,0,0,0,0,0,50,25,weapon01,木を加工して作った武器\n攻撃力+5
2,銅の剣,2,10,0,0,0,0,0,0,0,120,60,weapon02,銅製の剣\n攻撃力+10
3,鉄の槍,2,15,0,0,0,0,0,0,0,200,100,weapon03,鉄製の槍\n攻撃力+15
4,毒ナイフ,2,20,0,0,0,6,0,0,0,500,250,weapon04,毒が塗られたナイフ\n攻撃力+20\n攻撃時に敵を毒状態に\nすることがある
5,戦斧,2,35,0,0,0,0,0,0,0,800,400,weapon05,戦闘用の斧\n攻撃力+35
6,鋼の剣,2,50,0,0,0,0,0,0,0,1500,750,weapon06,鋼で作られた剣\n攻撃力+50
7,ミストリルの剣,2,65,0,0,0,0,0,0,0,4000,2000,weapon07,魔力を帯びた金属\nミストリルで\n作られた剣\n攻撃力+65
8,勇者の剣,2,80,0,0,0,0,0,0,1,0,0,weapon08,伝説の勇者が使用したと\n言われる剣\n神聖な力を持つ\n攻撃力+80
9,皮鎧,3,0,5,0,0,0,0,0,0,80,40,armor01,なめし革で形成された鎧\n防御力+5
10,鎖帷子,3,0,12,0,0,0,0,0,0,300,150,armor02,小さな鎖を編んで\n作られた鎧\n防御力+12
11,うろこの鎧,3,0,20,0,0,0,0,0,0,800,400,armor03,動物のウロコを\n重ね合わせて\n作られた鎧\n防御力+20
12,鋼の鎧,3,0,25,0,0,0,0,0,0,1000,500,armor04,鋼鉄を組み合わせて\n作られた強固な鎧\n防御力+25
13,ミストリルの鎧,3,0,30,0,0,0,0,0,0,3500,1750,armor05,魔力を帯びた金属\nミストリルで\n作られた鎧\n防御力+30
14,勇者の鎧,3,0,40,0,0,0,0,0,1,0,0,armor06,伝説の勇者が\n使用したと\n言われる鎧\n神聖な力を持つ\n防御力+40
15,木の盾,4,0,3,0,0,0,0,0,0,50,25,shield01,木の板を組み合わせて\n作られた盾\n防御力+3
16,青銅の盾,4,0,8,0,0,0,0,0,0,200,100,shield02,青銅製の盾\n防御力+8
17,鋼の盾,4,0,15,0,0,0,0,0,0,800,400,shield03,鋼鉄製の盾\n防御力+15
18,ミストリルの盾,4,0,20,0,0,0,0,0,0,3000,1500,shield04,魔力を帯びた金属\nミストリルで\n作られた盾\n防御力+20
19,勇者の盾,4,0,30,0,0,0,0,0,1,0,0,shield05,伝説の勇者が使用したと\n言われる盾\n神聖な力を持つ\n防御力+30
