0,迷宮に入るには王様の許可が必要だよ。\n
0,武器や防具は装備しないと意味がないよ。\n
0,迷宮は危険だ。\n入るなら、薬草や毒消し草を\n買い込んでおくことをお勧めするね。\n
0,姫様がさらわれてからずいぶん経つけど、\n無事なんだろうかね。\n
0,多くの冒険者が迷宮に挑んだが\nその多くが戻らず、辛うじて戻ったやつらも\n二度と行こうとは思わないそうだ。\nそれでも行くのかい？\n
1,迷宮には鍵のかかった扉があるから、\n銀のカギを用意しておくことだね。\nでないと、鍵売りのじいさんから高い金で\n買うことになるよ。\n
1,迷わないためにも\n迷宮の地図を見つけることだね。\nうわさでは最初の階にあるそうだよ。\n
1,冒険者の中には心が折れて\n盗賊に身を落としたやつらがいるそうだ。\nあんたはそうなっちゃだめだよ。\n
1,迷宮には所々に罠が仕掛けられてる。\n注意しなよ。\n
2,迷宮の中には銀のカギじゃ開かない\n扉があるそうだ。\n
2,地下3階への階段のある部屋への扉は\n金のカギで施錠されているらしいよ。\n
3,毒矢の罠には気を付けな。\nといっても、毒消し草を多めに持つ事\nぐらいしかできないがね。\n
3,最近、魔王を信奉するものが現れてきた。\nもうこの国も終わりかな・・・。\n
3,武器屋の店主が強力な装備を作るために\nミストリル鉱石が必要だって言ってたな。\n持っていったら礼はしてくれるんじゃないかな。\n
3,城の衛兵の一人が魔物共に金で寝返って、\nミストリル鉱石の番をしてるそうだ。\n金に汚い奴だから賄賂を渡せば\n通してくれるかもね。嫌なら倒したらいいよ。\n
3,魔王の信者と思しき黒ずくめの男が\n迷宮の近くをうろついているらしい。\n何をしてるんだろうな。\nどうせろくな事じゃないだろうがね。\n
4,少し前にかなり高名な魔法使いが迷宮に\n入っていったな。出会ったら声をかけてみな。\nきっと力になってくれるだろうよ。\n
4,扉が描かれた絵画があるらしい。\nそれには迷宮から一気に地上へ戻る\n力があるそうだ。便利だからぜひ見付けなよ。\n
4,勇者が身に付けたといわれる装備が\n迷宮に眠っているらしいね。\n確か、剣、鎧、盾、兜だったかな。\n
4,回転床の罠にかかったら、\nすぐに自分が向いてる方角を確認することだ。\nさもないと迷うよ。\n
4,昔にも、迷宮の魔物達がこの国を\n襲ったことがあったな。その時は一人の勇者が\n迷宮に挑み魔王を倒したそうだ。\n勇者は戻らなかったがね。\n
5,迷宮の奥には普通の明かりでは照らせない\n魔力で作られた暗闇があるらしい。\n魔法の明かりを使うしかないね。\n
5,魔法の明かりは地下5階のどこかにあるって話だ。\n必ず見付けなよ。\n
5,勇者の装備は封印された扉の先にあるらしい。\n封印を解くには勇者の証が必要だそうだ。\n
5,迷宮の中に勇者の証を守ってる人物がいるらしい。\n一体何者なんだろうね。\n
6,噂じゃ姫様は呪いで石に\n変えられてるそうだ。呪いを解く手鏡が城に\nあったけど、魔物に奪われちまって\n迷宮のどこかに隠されてるそうだ。\n
6,魔物の中には人に化けるやつがいる。\n見破るには腕輪が必要だって誰かが言ってたな。\n
7,魔王が最も信頼する部下が迷宮の奥で\n何か重要なものを守ってるらしいね。\n
7,迷宮の奥には死神が出るらしい。\n奴の鎌をくらって生き残った奴は\n一人もいないそうだ。対抗できたのは\n伝説の勇者だけって話だよ。\n
7,魔王が迷宮にいなかったって？\nじゃあ、どこにいるんだろうね。これは俺の考え\nなんだけど、あんたが手に入れた不気味な像に\n何か鍵があるんじゃないのかな。\n
7,昔に勇者が魔王の力を封じるのに使用した指輪が\nあるそうなんだが、それがこの国の王家に\n代々受け継がれてるって話だぜ。\n
8,ついに魔王の居場所を突き止めたって！？\n大したもんだ、後は倒すだけだな。\n必ず生きて戻ってくるんだぞ。\nそうしたら、一杯おごるからさ。\n
8,魔王の迷宮には何が待ってるかわからねえ。\n備えは十分にしてから乗り込みなよ。\n
-1,この迷宮には二体の女神像があるらしい。\n一体は金で、もう一体は銀でできているそうだ。\n
-1,金の女神像には死者を蘇らせる力があるそうだ。\nでも、その際に何かの花を捧げないといけない\nみたいなんだけど、何の花か忘れちまった。\nかなり貴重な花だったと思うんだが・・・。\n
-1,銀の女神像には祈ることでこれまで犯した罪を\n赦してくれる力があるそうだ。だがそのためには\n莫大な金を寄付しないといけないみたいだ。\nそれだけ罪を犯した代償は高いってことだな。\n
