1,スライム,10,10,6,6,10,1,6,0,enemy01,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
2,がいこつ,16,15,15,6,12,3,16,0,enemy02,0,0,0,1,3,0,0,3,1,100,0,0,0,0,0,0
3,盗賊,17,17,16,8,14,3,20,0,enemy03,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
4,毒グモ,12,12,10,6,10,2,12,0,enemy04,0,0,0,0,0,0,0,0,1,80,8,20,0,0,0,0
5,大こうもり,10,12,8,11,10,2,8,0,enemy05,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
6,お化けキノコ,22,22,20,11,14,5,22,0,enemy06,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
7,ゾンビ,36,28,28,11,16,7,29,0,enemy07,0,0,0,1,3,0,0,3,1,100,0,0,0,0,0,0
8,冒険者,30,30,30,13,22,8,34,0,enemy08,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
9,大蛇,24,24,22,13,13,6,25,0,enemy09,0,0,0,0,0,0,0,0,1,80,6,20,0,0,0,0
10,狼,24,28,20,18,26,6,27,0,enemy10,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
11,ゴースト,40,32,50,23,26,12,42,0,enemy11,0,0,0,1,3,0,0,3,1,90,2,10,0,0,0,0
12,ゴブリン,40,34,30,15,20,10,39,0,enemy12,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
13,魔術師,46,36,38,18,32,14,48,0,enemy13,0,0,0,0,0,0,0,0,1,60,3,40,0,0,0,0
14,人喰い花,42,36,36,16,22,10,45,0,enemy14,0,0,0,0,0,0,0,0,1,80,6,20,0,0,0,0
15,人喰い熊,50,50,38,20,26,16,52,0,enemy15,0,0,5,0,0,0,0,0,1,100,0,0,0,0,0,0
16,レイス,52,50,75,32,42,20,60,0,enemy16,0,0,0,1,3,0,0,3,1,80,5,20,0,0,0,0
17,オーク,54,50,44,18,30,18,67,0,enemy17,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
18,ゴブリンメイジ,60,48,50,24,46,22,70,0,enemy18,0,0,0,0,0,0,0,0,1,50,3,40,2,10,0,0
19,ミイラ男,80,62,55,20,30,24,75,0,enemy19,0,0,0,1,3,0,0,3,1,100,0,0,0,0,0,0
20,アサシン,62,68,58,35,38,26,69,0,enemy20,0,0,8,0,0,0,0,0,1,80,6,20,0,0,0,0
21,アルラウネ,80,74,74,28,50,30,87,0,enemy21,0,0,0,0,2,0,0,0,1,60,8,30,2,10,0,0
22,リザードマン,75,72,72,26,46,28,87,0,enemy22,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
23,ネクロマンサー,82,66,78,26,55,31,96,0,enemy23,0,0,0,0,0,0,0,0,1,40,3,30,5,20,11,10
24,コカトライス,88,77,77,39,55,34,97,0,enemy24,0,0,0,0,2,0,0,0,1,80,8,20,0,0,0,0
25,マンイーター,100,82,80,28,40,37,105,0,enemy25,0,0,5,0,0,0,0,0,1,100,0,0,0,0,0,0
26,ジャックオーランタン,95,83,120,50,52,42,127,0,enemy26,0,0,0,1,2,2,2,2,1,40,3,30,2,15,5,15
27,ドラゴニュート,105,85,90,40,45,40,123,0,enemy27,0,0,0,2,2,0,0,0,1,100,1,0,0,0,0,0
28,闇の司祭,115,75,95,40,64,45,132,0,enemy28,0,0,0,0,0,2,2,0,1,50,4,30,5,10,11,10
29,ガーゴイル,95,89,110,36,75,48,135,0,enemy29,0,0,0,2,2,0,2,3,1,80,5,20,0,0,0,0
30,キマイラ,125,93,95,44,55,52,142,0,enemy30,0,0,0,0,2,0,0,0,1,60,3,20,8,20,0,0
31,黒騎士,120,95,105,48,55,55,165,0,enemy31,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
32,デーモン,120,102,105,57,60,57,169,0,enemy32,0,0,0,0,2,2,0,2,1,60,4,30,11,10,0,0
33,ヴァンパイア,130,107,115,52,70,60,172,0,enemy33,0,0,0,1,3,2,0,3,1,70,6,20,7,10,0,0
34,サイクロプス,145,115,115,43,51,62,177,0,enemy34,0,0,10,0,2,0,0,0,1,80,2,20,0,0,0,0
35,ワイバーン,135,110,120,64,54,65,180,0,enemy35,0,0,0,2,2,0,0,0,1,80,9,20,0,0,0,0
36,魔王の騎士,135,120,120,50,67,70,187,0,enemy36,0,0,5,0,0,0,0,0,1,100,0,0,0,0,0,0
37,デーモンロード,140,125,125,56,70,73,192,0,enemy37,0,0,0,2,2,2,0,2,1,60,4,30,5,10,0,0
38,氷の女王,140,110,140,70,72,75,195,0,enemy38,0,0,0,1,2,2,2,2,1,55,2,30,7,15,11,10
39,火炎魔人,155,130,145,54,65,77,200,0,enemy39,0,0,10,3,2,2,2,2,1,80,3,20,0,0,0,0
40,ドラゴン,165,135,150,63,65,80,210,0,enemy40,0,0,0,2,3,0,2,2,1,65,9,25,8,10,0,0
41,ゴーレム,230,105,100,45,75,100,1500,0,enemy41,0,1,5,2,3,0,2,3,1,100,0,0,0,0,0,0
42,サキュバス,200,115,145,60,70,120,400,0,enemy42,0,1,0,2,2,2,0,3,1,55,2,20,5,20,11,5
43,死神,330,130,120,53,75,150,1500,0,enemy43,1,1,5,0,3,2,3,3,1,45,10,25,2,15,5,15
44,魔王ガイウス,580,190,140,58,99,0,0,0,enemy44,1,2,0,2,3,3,3,3,1,60,4,20,2,10,11,10
45,冒険者,32,28,18,12,25,10,100,0,npc01,1,1,0,0,0,0,0,2,1,100,0,0,0,0,0,0
46,案内人,25,20,26,20,30,8,150,29,npc02,1,1,5,0,0,0,0,2,1,70,5,20,11,10,0,0
47,採掘者,42,46,30,14,20,20,250,0,npc03,1,1,7,0,0,0,0,2,1,100,0,0,0,0,0,0
48,衛兵,75,58,55,28,38,40,400,0,npc04,1,1,0,0,0,0,0,3,1,100,0,0,0,0,0,0
49,騎士,55,55,42,26,26,50,500,0,npc05,1,1,0,0,0,0,0,2,1,100,0,0,0,0,0,0
50,魔法使い,110,70,66,30,55,70,650,34,npc06,1,1,0,2,0,2,2,2,1,45,4,30,5,20,11,5
51,謎の魔女,140,77,105,44,58,100,1000,46,npc07,1,1,0,2,3,3,3,3,1,30,4,40,5,20,7,10
52,エリナ姫（偽物）,10,10,10,10,10,0,0,0,princess,1,1,0,0,0,0,0,0,1,100,0,0,0,0,0,0
53,エリナ姫,10,10,10,10,10,0,0,0,princess,1,1,0,0,0,0,0,0,1,100,0,0,0,0,0,0
54,テストキャラ,140,77,105,44,58,100,1000,0,test01,0,0,0,2,3,3,3,3,1,30,4,40,5,20,7,10
